t,x,y,z,#odom gt up to 15 secs
233.692,-4.59860159701976,0.9991182101405479,-0.0010100202520881112,
233.926,-4.598671946749183,0.9991196794184872,-0.0010100231641444607,
234.126,-4.59873198209779,0.9991209307670111,-0.0010100256373392798,
234.359,-4.598801815362538,0.9991223833975039,-0.0010100282232290599,
234.589,-4.598871532182258,0.9991238303903404,-0.001010031315390427,
234.826,-4.5989414313467405,0.9991252779067173,-0.0010100342277615283,
235.026,-4.599001081224693,0.9991265105868397,-0.0010100366966460939,
235.259,-4.599070465226948,0.9991279413746431,-0.0010100392724033576,
235.459,-4.599129928786137,0.9991291649915017,-0.0010100416836019994,
235.692,-4.599199088823047,0.9991305851134613,-0.0010100446970272535,
235.922,-4.599268415912261,0.9991320053500492,-0.0010100474363875823,
236.126,-4.599327566194871,0.9991332144435954,-0.001010049753462243,
236.355,-4.599396355568233,0.9991346174882035,-0.0010100521251747343,
236.559,-4.5994552979907075,0.9991358170395291,-0.00101005444312844,
236.792,-4.599523844042199,0.9991372089238478,-0.0010100573764893622,
237.026,-4.599592551723705,0.9991386006990395,-0.0010100601308255987,
237.259,-4.599660833420825,0.9991399804389663,-0.0010100624861293806,
237.459,-4.5997193385859685,0.9991411599068533,-0.0010100647925755293,
237.692,-4.599787373647074,0.9991425283095174,-0.0010100677149272649,
237.926,-4.599855566754311,0.9991438964263545,-0.001010070457276975,
238.126,-4.599913744799181,0.9991450608542944,-0.0010100727293999353,
238.359,-4.599981397968833,0.999146411697836,-0.0010100750916988126,
238.592,-4.600048916922779,0.9991477563985591,-0.001010078003568924,
238.793,-4.600106765372381,0.9991489057529648,-0.0010100802762523509,
239.026,-4.6001743185126465,0.9991502446783083,-0.0010100829361715177,
239.252,-4.600241440681712,0.9991515715779739,-0.0010100851699891954,
239.459,-4.60016345772466,0.9991498568042121,-0.0010100098403456065,
239.692,-4.589227855963373,0.998889065189463,-0.001009446037072318,
239.926,-4.555277543233995,0.9980270779642343,-0.0010090804626332883,
240.126,-4.507494687764634,0.9967937769758121,-0.001008495114493758,
240.359,-4.442724547481193,0.9950172350174218,-0.00100942045716277,
240.592,-4.362654687421134,0.9927595507818573,-0.0010089751551650445,
240.826,-4.269213063451931,0.9898868172767443,-0.0010090170205634599,
241.059,-4.168273407123369,0.9867590309144156,-0.0010090523821322719,
241.287,-4.064864584525346,0.9835296326622472,-0.0010090558521033566,
241.492,-3.976095542474448,0.9807575033360632,-0.0010096267564963408,
241.692,-3.8873218772528912,0.9779853220903195,-0.001010247907064046,
241.926,-3.7834694678252627,0.9747425954374374,-0.0010102432606460925,
242.126,-3.694702110515634,0.9719710412909278,-0.0010104620370141662,
242.359,-3.591293369130386,0.9687425322022889,-0.0010104609976002415,
242.56,-3.502536658168937,0.9659716474776018,-0.0010100709523848134,
242.792,-3.3991280271982607,0.9627435204582224,-0.0010100603977974826,
243.025,-3.2952752725085,0.9595017311453576,-0.0010100713441599084,
243.226,-3.206523219465691,0.9567315800221913,-0.001009276826868577,
243.454,-3.103114545963257,0.9535040252536404,-0.0010092683038604392,
243.659,-3.014356578309335,0.9507339358320479,-0.0010089756959024906,
243.859,-2.925592638380549,0.9479637781913307,-0.0010090677744566037,
244.092,-2.8221837881636302,0.944736748727304,-0.001009072304465359,
244.326,-2.7183311912597836,0.9414960738731263,-0.0010090676005009309,
244.559,-2.614922329106856,0.9382694363031936,-0.0010090721265841093,
244.792,-2.5115134387576026,0.935042997509154,-0.0010090767878515716,
245.022,-2.4076608458882176,0.9318029053015011,-0.0010090719329686002,
245.226,-2.318891359048032,0.9290334913760444,-0.0010096741005122013,
245.459,-2.2154823725583843,0.9258075962265905,-0.0010096871041284355,
245.692,-2.112073365174433,0.9225818986716785,-0.0010096995597763461,
245.926,-2.0082208464346323,0.9193425552607802,-0.0010096866601446916,
246.126,-1.91944696777667,0.916573578806983,-0.0010102634841756032,
246.359,-1.8160379449603299,0.9133484150779163,-0.00101026631753765,
246.592,-1.7126288972330037,0.9101234465005601,-0.0010102678007918153,
246.826,-1.6087763784504199,0.9068848400671091,-0.0010102662167658094,
247.06,-1.5053673179197515,0.9036602447681235,-0.0010102676212166341,
247.292,-1.4019582830010007,0.9004358243246042,-0.0010102703389393425,
247.526,-1.2981057194229042,0.8971977809561215,-0.0010102674858307372,
247.756,-1.194696673040949,0.8939737266304922,-0.0010102701743585542,
247.957,-1.1059309435537603,0.8912063401084618,-0.0010104452227648279,
248.158,-1.0171749753043338,0.8884395129841023,-0.001009985215944139,
248.392,-0.9137662225272348,0.8852159672866265,-0.001009973742827847,
248.626,-0.8099133124095759,0.8819787671790632,-0.0010099856469929017,
248.859,-0.7065045484490071,0.878755581450981,-0.0010099741881083642,
